numer_acc	fid_err_targ	num_res	total_run_time	min_primary_fid_err	num_primary_success	avg_primary_success_run_time	mean_iter_primary_success	std_iter_primary_success	num_secondary_success	mean_iter_secondary_success	std_iter_secondary_success	mean_primary_success_second_fid	std_primary_success_second_fid	termination
2.250000e-03	1.0000e-02	50	0:02:10.898529	6.500000000e-03	13	0:00:01.245630	22.923	3.496	22	24.091	3.825	5.948553342e-03	9.0783354e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.312500e-03	1.0000e-02	50	0:01:21.755645	6.625000000e-03	14	0:00:00.829269	23.857	4.206	26	22.846	4.597	5.824707764e-03	4.7509389e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.375000e-03	1.0000e-02	50	0:01:28.244762	7.375000000e-03	8	0:00:00.818057	23.750	4.054	22	23.045	4.426	5.910015949e-03	6.1260897e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.437500e-03	1.0000e-02	50	0:02:08.443442	6.125000000e-03	9	0:00:01.090597	21.444	3.370	25	22.560	3.961	5.663969749e-03	8.3433844e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.500000e-03	1.0000e-02	50	0:02:29.923207	7.500000000e-03	9	0:00:01.493583	22.333	3.162	24	22.583	3.774	5.720351123e-03	1.1381796e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.562500e-03	1.0000e-02	50	0:01:51.742367	6.375000000e-03	11	0:00:01.118711	22.000	1.907	24	22.625	2.705	6.108919609e-03	6.4744245e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.625000e-03	1.0000e-02	50	0:01:30.005037	7.625000000e-03	5	0:00:00.940060	28.000	7.266	24	23.375	5.633	6.084743149e-03	3.7500987e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.687500e-03	1.0000e-02	50	0:01:26.615189	5.875000000e-03	12	0:00:00.811645	23.917	5.908	20	24.650	5.721	5.886057382e-03	9.4207738e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.718750e-03	1.0000e-02	50	0:01:27.038273	7.156250000e-03	12	0:00:00.876355	24.583	4.349	17	23.412	4.538	6.840030411e-03	1.0567659e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.750000e-03	1.0000e-02	50	0:02:20.347182	6.250000000e-03	4	0:00:01.184698	25.750	5.117	22	22.636	4.427	5.843791444e-03	6.6766993e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.000000e-03	1.0000e-02	50	0:02:10.515142	8.000000000e-03	5	0:00:01.412706	29.000	3.847	14	25.786	4.708	4.932946250e-03	4.1279032e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.250000e-03	1.0000e-02	50	0:01:41.229723	7.750000000e-03	3	0:00:01.105317	23.000	1.633	16	22.938	3.230	5.316922910e-03	1.3708579e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.500000e-03	1.0000e-02	50	0:01:30.401921	8.500000000e-03	7	0:00:00.764054	21.714	3.844	12	21.333	4.130	6.570889377e-03	6.9426640e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.750000e-03	1.0000e-02	50	0:02:30.361552	8.750000000e-03	3	0:00:01.340299	20.667	2.625	4	22.500	3.905	6.452399928e-03	2.7780275e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
4.000000e-03	1.0000e-02	50	0:03:00.211679	8.000000000e-03	2	0:00:01.534546	22.500	2.500	12	23.000	4.564	5.542613333e-03	1.0467609e-04	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
